
1,你好，李焕英,喜剧,541330,45,24,中国,2021-02-12,
2,唐人街探案3,喜剧,451505,48,31,中国,2021-02-12,
3,长津湖,剧情,378466,49,47,中国,2021-09-30,
4,速度与激情9,动作,139233,39,13,美国,2021-05-21,
5,中国医生,剧情,132819,36,11,中国,2021-07-09,
6,怒火·重案,动作,132807,39,8,中国香港/中国,2021-07-30,
7,哥斯拉大战金刚,动作,123262,37,9,美国,2021-03-26,
8,送你一朵小红花,剧情,119592,37,10,中国,2020-12-31,
9,悬崖之上,剧情,119014,39,12,中国,2021-04-30,
10,我和我的父辈,剧情,112040,44,27,中国,2021-09-30,
11,刺杀小说家,奇幻,103521,47,16,中国,2021-02-12,
12,我的姐姐,剧情,86018,37,9,中国,2021-04-02,
13,你的婚礼,爱情,78926,38,15,中国,2021-04-30,
14,人潮汹涌,剧情,76248,41,10,中国,2021-02-12,
15,拆弹专家2,动作,71250,39,8,中国,2020-12-24,
16,温暖的抱抱,喜剧,66954,37,9,中国,2020-12-31,
17,失控玩家,动作,61249,39,7,美国,2021-08-27,
18,白蛇2：青蛇劫起,动作,58012,39,7,中国,2021-07-23,
19,熊出没·狂野大陆,动画,55989,44,19,中国,2021-02-12,
20,1921,剧情,50389,35,8,中国,2021-07-01,
21,新神榜：哪吒重生,动画,45648,44,14,中国,2021-02-12,
22,峰爆,剧情,42998,38,8,中国,2021-09-17,
23,扫黑·决战,剧情,40552,34,9,中国,2021-05-01,
24,盛夏未来,剧情,38673,37,6,中国,2021-07-30,
25,阿凡达,科幻/动作,37556,35,8,美国,2010-01-04,
