,品牌ID,品牌名称,城市,平台,日期,门店ID,门店名称,GMV,下单人数,商家实收,商户补贴,平台补贴,无效订单数,曝光人数,有效订单数,进店人数
0,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-27,2001104355,宝山店,63.0,1.0,23,35,0,0,151.0,1,17.0
1,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-19,2001104355,宝山店,312.0,5.0,107,177,17,0,1000.0,5,60.0
2,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-13,2001104355,宝山店,684.0,10.0,265,356,14,0,1230.0,10,70.0
3,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-23,2001104355,宝山店,557.0,11.0,168,328,11,0,899.0,11,62.0
4,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-21,2001104355,宝山店,624.0,11.0,239,317,12,0,1287.0,11,73.0
5,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-29,2001104355,宝山店,620.0,11.0,204,345,12,0,924.0,11,63.0
6,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-14,2001104355,宝山店,710.0,11.0,248,388,25,0,949.0,12,49.0
7,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-07,2001104355,宝山店,782.0,12.0,282,427,12,0,759.0,12,54.0
8,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-22,2001104355,宝山店,729.0,12.0,266,391,13,0,880.0,12,56.0
9,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-24,2001104355,宝山店,823.0,12.0,334,406,16,0,839.0,12,49.0
10,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-19,2001104355,宝山店,776.0,12.0,303,395,23,0,933.0,12,70.0
11,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-06,2001104355,宝山店,1180.0,13.0,615,420,6,0,1155.0,13,75.0
12,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-05,2001104355,宝山店,928.0,13.0,333,505,14,0,1596.0,13,100.0
13,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-09,2001104355,宝山店,961.0,13.0,392,472,21,0,928.0,13,63.0
14,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-14,2001104355,宝山店,922.0,13.0,365,465,24,0,1122.0,14,83.0
15,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-06,2001104355,宝山店,979.0,14.0,378,507,22,0,1364.0,15,86.0
16,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-30,2001104355,宝山店,1035.0,15.0,390,543,8,0,855.0,15,67.0
17,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-21,2001104355,宝山店,906.0,15.0,312,506,38,0,935.0,15,73.0
18,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-04,2001104355,宝山店,1034.0,14.0,357,573,24,0,1199.0,16,69.0
19,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-09,2001104355,宝山店,1009.0,15.0,415,489,11,0,853.0,16,64.0
20,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-20,2001104355,宝山店,885.0,15.0,307,482,13,0,1143.0,16,82.0
21,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-12,2001104355,宝山店,982.0,16.0,331,553,18,0,1167.0,16,85.0
22,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-07-29,2001104355,宝山店,1025.0,16.0,358,565,39,0,1194.0,16,71.0
23,4636,蛙小辣火锅杯（总账号）,上海,eleme,2020-06-15,2001104355,宝山店,1029.0,15.0,380,550,18,0,1440.0,17,76.0
